bs	ga	status	peak_mem_mib	train_runtime	steps_per_sec	samples_per_sec	run_dir
1	32	success	35587	NA	NA	NA	/workspace/unlearning/saves/benchmarks/npo_sam_bs_sweep_duet_validate/bs1_ga32
16	2	success	48549	NA	NA	NA	/workspace/unlearning/saves/benchmarks/npo_sam_bs_sweep_duet_validate/bs16_ga2
